Ligand SMILES	Target Name	IC50 (nM)	PDB ID(s) of Target Chain
Cn1c(cc2ccc(Oc3cnc(cn3)-c3nc(no3)-c3ccc(cc3)C(F)(F)F)cc12)C(=O)N1CCN(Cc2ccc(Br)cc2)CC1	Signal transducer and activator of transcription 3	836	"3CWG,6NJS,6NUQ,6TLC"
CC(=O)C1=CC2C(O1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	840	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)Cc1ccc(O)cc1	Signal transducer and activator of transcription 3	848	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)C=Cc1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)OC(N)=O)C(=O)NCc1ccccc1	Signal transducer and activator of transcription 3	850	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)C=Cc1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)OC(N)=O)C(=O)NCc1ccccc1	Signal transducer and activator of transcription 3	850	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OP(O)(O)=O)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(N)=O	Signal transducer and activator of transcription 3	856	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1F)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	856	"3CWG,6NJS,6NUQ,6TLC"
Cn1ccc2cc(ccc2c1=O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	870	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)\C=C\c1ccc(OP(O)(O)=O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)NCc1ccccc1	Signal transducer and activator of transcription 3	874	"3CWG,6NJS,6NUQ,6TLC"
ONC(=O)c1ccc(N(Cc2ccc(cn2)C2CCCCC2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	889	"3CWG,6NJS,6NUQ,6TLC"
ONC(=O)c1ccc(N(Cc2ccc(cn2)C2CCCCC2)C(=O)[C@H]2CCN2S(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)c(F)c1	Signal transducer and activator of transcription 3	890	"3CWG,6NJS,6NUQ,6TLC"
O=C(NCCN1CCC(CCCCCNc2cccc3C(=O)N(C4CCC(=O)NC4=O)C(=O)c23)CC1)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	900	"3CWG,6NJS,6NUQ,6TLC"
CCC[C@@H](C)Oc1ccc(cc1C)C(=O)Nc1ccc2nc(SCC(=O)N[C@@H](C)c3ccccc3)sc2c1	Signal transducer and activator of transcription 3	900	"3CWG,6NJS,6NUQ,6TLC"
OC(=O)c1ccc(cc1O)N(Cc1ccc(nc1)C1CCOCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	900	"3CWG,6NJS,6NUQ,6TLC"
CC(C)(C)OC(=O)c1ccc(NC(=O)c2cccc(c2)S(N)(=O)=O)cc1	Signal transducer and activator of transcription 3	920	"3CWG,6NJS,6NUQ,6TLC"
CCCC(C)Oc1ccc(cc1C)C(=O)Nc1ccc2nc(SCC(=O)N[C@@H](C)c3ccccc3)sc2c1	Signal transducer and activator of transcription 3	950	"3CWG,6NJS,6NUQ,6TLC"
Fc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N1CC[C@@H]1C(=O)N(Cc1ccc(cn1)C1CCCCC1)c1ccc2c(c1)nc[nH]c2=O	Signal transducer and activator of transcription 3	978	"3CWG,6NJS,6NUQ,6TLC"
Fc1c(F)c(F)c(c(F)c1F)S(=O)(=O)N1CC[C@@H]1C(=O)N(Cc1ccc(cn1)C1CCCCC1)c1ccc2c(c1)nc[nH]c2=O	Signal transducer and activator of transcription 3	980	"3CWG,6NJS,6NUQ,6TLC"
O\N=C1\C=C(N[C@H](Cc2ccccc2)C(=O)Nc2cccc(c2)C(F)(F)F)C(=O)c2ccccc12	Signal transducer and activator of transcription 3	990	"3CWG,6NJS,6NUQ,6TLC"
COC(=O)c1ccc(cc1O)N(Cc1ccc(cn1)C1CCCCC1)C(=O)[C@H]1CCN1S(=O)(=O)c1c(F)c(F)c(F)c(F)c1F	Signal transducer and activator of transcription 3	998	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(OCC(O)=O)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(O)=O	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CC(C)C[C@H](NC(=O)[C@H](Cc1ccc(Cc2nnn[nH]2)cc1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(O)=O	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
C[C@H](O)c1cc2c(o1)C(=O)c1ccccc1C2=O	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
CC1C(=Nn2c(nnc2S1=O)-c1cc(n[nH]1)-c1ccc(Cl)cc1)c1ccc(Cl)c(Cl)c1	Signal transducer and activator of transcription 3	1000	"3CWG,6NJS,6NUQ,6TLC"
CCN1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
FC(F)(F)Oc1ccc(cc1)C(=O)N1CCN(CC1)C(=O)c1ccc(nc1)-c1nc(no1)-c1ccc(cc1)C(F)(F)F	Signal transducer and activator of transcription 3	800	"3CWG,6NJS,6NUQ,6TLC"
