Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain
COc1ncc(cc1NS(C)(=O)=O)-c1nc(N2CCOCC2)c2nc(OC3CCN(CC3)C3COC3)n(C)c2n1	Tumor necrosis factor	15.2	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CN(C)C(C(=O)Nc1ccc2cnccc2c1)c1ccc(COC(=O)CCC(=O)OCC(=O)[C@@]23OC(C)(C)O[C@@H]2C[C@H]2[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]32C)cc1	Tumor necrosis factor	15.5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
CN(C)C(C(=O)Nc1ccc2cnccc2c1)c1ccc(COC(=O)CCC(=O)OCC(=O)[C@@]23OC(C)(C)O[C@@H]2C[C@H]2[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]32C)cc1	Tumor necrosis factor	15.5	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
C[C@@H](Nc1c(Cl)cnc2ccc(cc12)-c1cnc(nc1)C(C)(C)O)c1ccccc1F	Tumor necrosis factor	17	ChEMBL	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
N#Cc1ccc(F)c([C@@H](C)Nc2c(Cl)c(C)nc3cc(F)c(-c4cnc(N5CCN(C(=O)COCCOCCOCCOCCOCCOCCn6cc(CC[C@H](NC(=O)c7ccc(SCc8ccc9nc(N)nc(O)c9c8)cc7)C(=O)O)nn6)CC5)nc4)nc23)c1	Tumor necrosis factor	17	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCOCCOCCOCCOCCOCCn5cc(CC[C@H](NC(=O)c6ccc(N(C)Cc7cnc8nc(N)[nH]c(=O)c8n7)cc6)C(=O)O)nn5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	17	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCn5cc(COCCOCCOCCOCCNC(=O)CC[C@H](NC(=O)[C@H]6CC[C@H](NCc7cnc8nc(N)nc(O)c8n7)CC6)C(=O)O)nn5)CC4)nc3)nc2c(N[C@H](C)c2ccccc2F)c1Cl	Tumor necrosis factor	17.5	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
N#Cc1ccc(F)c([C@@H](C)Nc2c(Cl)c(C)nc3cc(F)c(-c4cnc(N5CCN(C(=O)COCCn6cc(CN(CCO)CCOCCOCCOCCNC(=O)CC[C@H](NC(=O)c7ccc(NCc8cnc9nc(N)nc(O)c9n8)cc7)C(=O)O)nn6)CC5)nc4)nc23)c1	Tumor necrosis factor	18	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
N#Cc1ccc(F)c([C@@H](C)Nc2c(Cl)c(C)nc3cc(F)c(-c4cnc(N5CCN(C(=O)COCCOCCOCCOCCOCCOCCn6cc(CC[C@H](NC(=O)c7ccc(CCc8ccc9nc(N)nc(O)c9c8)cc7)C(=O)O)nn6)CC5)nc4)nc23)c1	Tumor necrosis factor	19	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCn5cc(COCCOCCOCCOCCCC(=O)CC[C@H](NC(=O)c6ccc(SCCc7cc8c(=O)[nH]c(N)nc8[nH]7)cc6)C(=O)O)nn5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	19	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
COc1cccc2c1ncc1c2n(C2CCC(C)CC2)c(=O)n(-c2ccccc2Cl)c1=O	Tumor necrosis factor	20	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
Cc1nc2cc(F)c(-c3cnc(N4CCN(C(=O)COCCOCCOCCOCCOCCOCCn5cc(CC[C@H](NC(=O)c6ccc(NCc7cnc8nc(N)nc(O)c8n7)cc6)C(=O)O)nn5)CC4)nc3)nc2c(N[C@H](C)c2cc(C#N)ccc2F)c1Cl	Tumor necrosis factor	20	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
COc1ncc(cc1NS(C)(=O)=O)-c1nc(N2CCOCC2)c2sc(C)c(CN3CCC(CC3)N(C)C(C)C)c2n1	Tumor necrosis factor	20.1	US Patent	"2AZ5,3ALQ,3IT8,3L9J,4G3Y,4TWT,5M2I,5M2J,5M2M,5MU8,5WUX,5YOY,6OOY,6OOZ,6X81,6X82,6X83,6X85,6X86,7JRA"
N#Cc1ccc(F)c([C@@H](C)Nc2c(Cl)c(C)nc3cc(F)c(-c4cnc(N5CCN(C(=O)COCCOCCOCCOCCOCCOCCn6cc(CC[C@H](NC(=O)c7ccc(OCc8ccc9nc(N)nc(O)c9c8)cc7)C(=O)O)nn6)CC5)nc4)nc23)c1	Tumor necrosis factor	22	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
N#Cc1ccc(F)c([C@@H](C)Nc2c(Cl)c(C)nc3cc(F)c(-c4cnc(N5CCN(C(=O)COCCn6cc(CN(C)CCOCCOCCOCCNC(=O)CC[C@H](NC(=O)c7ccc(NCc8cnc9nc(N)nc(O)c9n8)cc7)C(=O)O)nn6)CC5)nc4)nc23)c1	Tumor necrosis factor	22	US Patent	"5MU8,9OK6,9OJY,9OJS,9OJO,6X86,6X85,6X83,6X82,6X81,5YOY,7JRA,8Z8M,6OOZ,6OOY,5WUX,5M2M,5M2J,5M2I,4TWT,4G3Y,3IT8,3ALQ,3L9J,2AZ5,7ASY,7QLF"
