Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain 1
CC(C)COP(C)(=O)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	25.5	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(C)n(C)c2C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	25.5	US Patent	5YZ0
CC(C)COP(C)(=O)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	25.5	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(C)n(C)c2C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	25.5	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1c(F)cnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)c2cnn(C)c2)nc(n1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1c(F)cnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)c2cnn(C)c2)nc(n1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1c(F)cnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)c2cnn(C)n2)nc(n1)-c1ccnc2[nH]ccc12	ATR Interacting Protein	26	US Patent	5YZ0
Fc1cccc(c1F)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	26.4	US Patent	5YZ0
Fc1cccc(c1F)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	26.4	US Patent	5YZ0
CS(=O)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOCC1	ATR Interacting Protein	26.5	US Patent	5YZ0
CS(=O)(=O)c1ccc(cc1)-c1cc(nc2c(nccc12)-c1cc[nH]n1)N1CCOCC1	ATR Interacting Protein	26.5	US Patent	5YZ0
Cn1cccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	26.6	US Patent	5YZ0
Cn1cccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	26.6	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C(C)(C)C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	26.9	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)C(C)(C)C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	26.9	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cc(F)cc2[nH]ncc12	ATR Interacting Protein	27	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccnn2C2COC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cc(F)cc2[nH]ncc12	ATR Interacting Protein	27	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccnn2C2COC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cc(F)cc2[nH]ncc12	ATR Interacting Protein	27	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCOCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S2(=O)CCOCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(C2CCNCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27.5	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(C2CCNCC2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	27.5	US Patent	5YZ0
CCP(=O)(CC)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	27.7	US Patent	5YZ0
CCP(=O)(CC)c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	27.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(CCO)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cnn(CCO)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccsc2Cl)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.2	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccsc2Cl)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.2	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(Cl)cnc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.4	US Patent	5YZ0
Oc1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	28.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(Cl)cnc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	28.4	US Patent	5YZ0
Oc1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	28.4	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)c2ccc(F)cc2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	29	US Patent	5YZ0
OCc1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	29	US Patent	5YZ0
CCOc1cc(-c2cc(cc(N=S(C)(C)=O)n2)N2CCOC[C@H]2C)c2cc[nH]c2n1	ATR Interacting Protein	29	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(=O)c2ccc(F)cc2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	29	US Patent	5YZ0
OCc1cccc(c1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	29	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2csc(C)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	29.2	US Patent	5YZ0
CCn1cc(cn1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	29.2	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2csc(C)c2)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	29.2	US Patent	5YZ0
CCn1cc(cn1)-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	29.2	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(C)sc2C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	30	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(c1)-c1cc(Cl)nc2[nH]ccc12	ATR Interacting Protein	30	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2cc(C)sc2C)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	30	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(F)nc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	30.1	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(-c2ccc(F)nc2F)c2ccnc(-c3ccn[nH]3)c2n1	ATR Interacting Protein	30.1	US Patent	5YZ0
Cc1ccccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	30.6	US Patent	5YZ0
Cc1ccccc1-c1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOCC1	ATR Interacting Protein	30.6	US Patent	5YZ0
CSc1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	30.7	US Patent	5YZ0
CSc1cc(nc2c(nccc12)-c1ccn[nH]1)N1CCOC[C@H]1C	ATR Interacting Protein	30.7	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cccc2[nH]ncc12	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-c1cc(N)nc(Cl)c1	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=S(C)(C)=O)nc(n1)-c1cccc2[nH]ncc12	ATR Interacting Protein	31	US Patent	5YZ0
C[C@@H]1COCCN1c1cc(N=[S@](C)(=O)C2CC2)nc(n1)-c1cc(N)nc(Cl)c1	ATR Interacting Protein	31	US Patent	5YZ0
