Ligand SMILES	Target Name	IC50 (nM)	Curation/DataSource	PDB ID(s) of Target Chain	UniProt (TrEMBL) Primary ID of Target Chain	UniProt (TrEMBL) Secondary ID(s) of Target Chain	UniProt (TrEMBL) Alternative ID(s) of Target Chain
CC1(C)CCC(=CC1)c1nc(ccc1NC(=O)c1nc(c[nH]1)C#N)[C@H]1CC(C)(C)O[C@](C)(C1)C(O)=O	Colony Stimulating?Factor?1	1.8	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CC1(C)CCC(=CC1)c1nc(ccc1NC(=O)c1nc(c[nH]1)C#N)[C@H]1CC(C)(C)O[C@](C)(C1)C(O)=O	Colony Stimulating?Factor?1	1.8	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CC1(C)CCC(=CC1)c1nc(ccc1NC(=O)c1nc(c[nH]1)C#N)[C@H]1CC(C)(C)O[C@](C)(C1)C(O)=O	Colony Stimulating?Factor?1	1.8	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CN(Cc1ccccc1C)c1ncnc2[nH]c(nc12)-c1ccc(CO)cc1	Colony Stimulating?Factor?1	1.8	ChEMBL	"4LIQ,6T2W,4DKD"			
CN(Cc1cccc(C)c1)c1ncnc2[nH]c(cc12)-c1ccccc1	Colony Stimulating?Factor?1	1.8	ChEMBL	"4LIQ,6T2W,4DKD"			
CCOc1ccc(Nc2cc(C)c(cn2)-c2ccc(NC)c3C(=O)NCc23)cn1	Colony Stimulating?Factor?1	1.87	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CNc1ccc(c2CNC(=O)c12)-c1cnc(Nc2cnc(cn2)C2CC2)cc1C	Colony Stimulating?Factor?1	1.89	US Patent	"3LCO,4DKD,4LIQ,6IG8"			
CC(C)(OCCN1CCOCC1)c1ccc(NC(=O)c2ncc([nH]2)C#N)c(c1)C1=CCC(C)(C)CC1 |t:31|	Colony Stimulating?Factor?1	1.9	US Patent	4EXP			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1ncc([nH]1)C#N)C1(CCOCC1)N1CCNCC1	Colony Stimulating?Factor?1	1.9	US Patent	4EXP			
CC1(C)CCC(=CC1)c1cc(ccc1NC(=O)c1nc(c[nH]1)C#N)C1CCC(CC1)N1CCOCC1	Colony Stimulating?Factor?1	1.9	US Patent	4EXP			
